incident_id,run_id,issue_type,severity,resolved_time_mins
I0126,R0578,Config Error,High,88
I0127,R0580,Schema Mismatch,Low,63
I0128,R0586,Timeout,Medium,78
I0129,R0594,Timeout,Medium,153
I0130,R0595,Network Failure,Low,50
I0131,R0596,Schema Mismatch,High,61
I0132,R0603,Infra Failure,Medium,147
I0133,R0604,Schema Mismatch,Critical,47
I0134,R0609,Infra Failure,Medium,116
I0135,R0612,Network Failure,Low,25
I0136,R0625,Timeout,High,67
I0137,R0627,Schema Mismatch,Critical,163
I0138,R0634,Query Error,Low,138
I0139,R0641,Timeout,Low,68
I0140,R0646,Config Error,Low,48
I0141,R0656,Timeout,Critical,102
I0142,R0663,Schema Mismatch,Critical,104
I0143,R0666,Config Error,Medium,45
I0144,R0673,Query Error,Low,167
I0145,R0675,Config Error,Low,159
I0146,R0679,Schema Mismatch,Medium,178
I0147,R0680,Timeout,Medium,171
I0148,R0689,Config Error,Medium,51
I0149,R0696,Network Failure,Medium,24
I0150,R0706,Schema Mismatch,Medium,163
I0151,R0709,Network Failure,Critical,149
I0152,R0710,Config Error,High,75
I0153,R0718,Schema Mismatch,High,28
I0154,R0729,Timeout,Medium,133
I0155,R0731,Timeout,Low,64
I0156,R0734,Timeout,Critical,159
I0157,R0740,Network Failure,High,113
I0158,R0741,Query Error,Low,100
I0159,R0742,Schema Mismatch,High,151
I0160,R0744,Query Error,Medium,75
I0161,R0747,Query Error,Low,36
I0162,R0762,Query Error,Medium,61
I0163,R0768,Query Error,Low,176
I0164,R0789,Infra Failure,High,43
I0165,R0796,Config Error,Low,45
I0166,R0802,Schema Mismatch,Critical,67
I0167,R0803,Infra Failure,Low,11
I0168,R0804,Infra Failure,Medium,137
I0169,R0806,Schema Mismatch,Low,44
I0170,R0819,Config Error,High,117
I0171,R0820,Query Error,Low,73
I0172,R0828,Schema Mismatch,Critical,63
I0173,R0832,Schema Mismatch,High,63
I0174,R0839,Config Error,Critical,136
I0175,R0850,Network Failure,Critical,27
I0176,R0852,Query Error,High,68
I0177,R0861,Config Error,Medium,102
I0178,R0866,Infra Failure,Medium,67
I0179,R0874,Timeout,Critical,78
I0180,R0875,Config Error,High,76
I0181,R0880,Network Failure,Medium,22
I0182,R0881,Query Error,Low,52
I0183,R0882,Query Error,Critical,23
I0184,R0897,Query Error,Low,111
I0185,R0900,Schema Mismatch,Medium,157
I0186,R0901,Timeout,Low,144
I0187,R0902,Schema Mismatch,Low,98
I0188,R0904,Query Error,High,78
I0189,R0907,Schema Mismatch,Low,37
I0190,R0909,Timeout,High,76
I0191,R0911,Infra Failure,Medium,13
I0192,R0913,Query Error,Low,148
I0193,R0915,Schema Mismatch,Critical,30
I0194,R0923,Query Error,Medium,61
I0195,R0929,Infra Failure,High,151
I0196,R0940,Infra Failure,High,113
I0197,R0961,Config Error,Medium,44
I0198,R0969,Timeout,Critical,111
I0199,R0971,Timeout,Low,113
I0200,R0976,Config Error,Low,173
I0201,R0979,Query Error,High,61
I0202,R0981,Config Error,Low,16
I0203,R0984,Timeout,Medium,168
I0204,R0985,Timeout,Medium,39
I0205,R0986,Config Error,Low,50
I0206,R0988,Config Error,Low,133
I0207,R0991,Schema Mismatch,Low,62
I0208,R0999,Config Error,Low,50
