run_id,pipeline_id,run_date,start_time,end_time,status,records_processed,compute_cost
R0033,P004,2025-03-08,2025-03-08 04:32:00,2025-03-08 04:54:00,Running,1813519,5.29
R0034,P003,2025-01-19,2025-01-19 07:58:00,2025-01-19 08:20:00,Failed,0,6.24
R0035,P010,2025-03-09,2025-03-09 08:46:00,2025-03-09 09:47:00,Success,5584240,4.07
R0036,P007,2025-01-15,2025-01-15 10:51:00,2025-01-15 11:38:00,Success,2763749,23.32
R0037,P002,2025-03-15,2025-03-15 16:50:00,2025-03-15 17:14:00,Success,3836858,4.51
R0038,P002,2025-04-20,2025-04-20 12:46:00,2025-04-20 13:05:00,Failed,0,3.69
R0039,P005,2025-04-24,2025-04-24 21:49:00,2025-04-24 22:31:00,Success,3313275,5.93
R0040,P007,2025-02-25,2025-02-25 04:46:00,2025-02-25 06:50:00,Delayed,8019952,36.1
R0041,P008,2025-01-08,2025-01-08 11:02:00,2025-01-08 11:24:00,Success,2775278,8.65
R0042,P003,2025-02-12,2025-02-12 04:18:00,2025-02-12 04:45:00,Failed,0,11.81
R0043,P003,2025-03-25,2025-03-25 07:47:00,2025-03-25 08:13:00,Failed,0,6.22
R0044,P008,2025-03-03,2025-03-03 19:10:00,2025-03-03 19:46:00,Success,2324907,13.9
R0045,P003,2025-01-27,2025-01-27 16:10:00,2025-01-27 16:58:00,Success,9879546,17.42
R0046,P009,2025-04-04,2025-04-04 10:11:00,2025-04-04 10:46:00,Success,7300546,7.02
R0047,P009,2025-03-28,2025-03-28 20:51:00,2025-03-28 22:07:00,Delayed,5758739,4.67
R0048,P007,2025-02-14,2025-02-14 04:09:00,2025-02-14 04:19:00,Success,6450285,4.54
R0049,P006,2025-01-18,2025-01-18 05:57:00,2025-01-18 07:42:00,Delayed,2336896,46.67
R0050,P001,2025-02-15,2025-02-15 07:34:00,2025-02-15 09:00:00,Success,2418153,31.48
R0051,P008,2025-03-13,2025-03-13 17:23:00,2025-03-13 17:35:00,Failed,0,5.51
R0052,P010,2025-03-21,2025-03-21 05:05:00,2025-03-21 06:04:00,Running,4332654,28.29
R0053,P005,2025-03-04,2025-03-04 02:57:00,2025-03-04 03:14:00,Success,2722643,2.17
R0054,P010,2025-02-26,2025-02-26 01:56:00,2025-02-26 02:50:00,Success,6329103,16.56
R0055,P010,2025-02-02,2025-02-02 02:18:00,2025-02-02 03:06:00,Success,1080897,9.98
R0056,P004,2025-02-27,2025-02-27 01:27:00,2025-02-27 02:56:00,Success,7701856,23.86
R0057,P009,2025-04-30,2025-04-30 03:59:00,2025-04-30 04:15:00,Failed,0,1.25
R0058,P010,2025-02-22,2025-02-22 23:10:00,2025-02-23 00:32:00,Running,4368983,33.64
R0059,P008,2025-01-22,2025-01-22 06:43:00,2025-01-22 07:05:00,Failed,0,9.09
R0060,P009,2025-03-03,2025-03-03 23:03:00,2025-03-04 00:02:00,Success,5234411,10.63
R0061,P007,2025-03-17,2025-03-17 21:15:00,2025-03-17 21:31:00,Success,2235277,5.46
R0062,P003,2025-02-09,2025-02-09 21:27:00,2025-02-09 22:32:00,Success,1480338,11.2
R0063,P008,2025-01-03,2025-01-03 05:35:00,2025-01-03 06:03:00,Success,1321439,13.98
R0064,P009,2025-04-11,2025-04-11 13:20:00,2025-04-11 13:34:00,Success,7105612,4.76
R0065,P010,2025-01-16,2025-01-16 18:49:00,2025-01-16 19:14:00,Failed,0,6.89
R0066,P009,2025-04-05,2025-04-05 05:47:00,2025-04-05 06:05:00,Success,3251541,2.41
R0067,P004,2025-01-31,2025-01-31 04:19:00,2025-01-31 05:41:00,Success,4483242,15.36
R0068,P003,2025-02-26,2025-02-26 20:17:00,2025-02-26 21:30:00,Success,8968190,27.39
R0069,P001,2025-03-11,2025-03-11 00:51:00,2025-03-11 01:21:00,Success,1667354,11.28
R0070,P006,2025-03-27,2025-03-27 11:52:00,2025-03-27 12:13:00,Failed,0,3.05
R0071,P006,2025-03-12,2025-03-12 04:45:00,2025-03-12 05:16:00,Success,9429558,4.89
R0072,P007,2025-01-07,2025-01-07 04:53:00,2025-01-07 06:15:00,Success,1111237,37.4
R0073,P008,2025-03-26,2025-03-26 20:21:00,2025-03-26 21:26:00,Success,5874114,24.87
R0074,P003,2025-04-14,2025-04-14 22:40:00,2025-04-14 23:00:00,Failed,0,9.87
R0075,P007,2025-01-07,2025-01-07 22:31:00,2025-01-07 23:12:00,Success,5514969,3.64
R0076,P001,2025-03-10,2025-03-10 18:58:00,2025-03-10 19:59:00,Success,1957858,22.24
R0077,P004,2025-02-11,2025-02-11 05:15:00,2025-02-11 06:44:00,Success,7371718,42.24
R0078,P006,2025-04-05,2025-04-05 02:01:00,2025-04-05 02:26:00,Success,5588634,9.19
R0079,P010,2025-02-06,2025-02-06 14:35:00,2025-02-06 15:19:00,Success,8429541,8.46
R0080,P005,2025-02-26,2025-02-26 01:14:00,2025-02-26 01:29:00,Success,490209,5.18
R0081,P003,2025-03-09,2025-03-09 12:49:00,2025-03-09 13:18:00,Running,2894713,3.93
R0082,P001,2025-05-01,2025-05-01 22:25:00,2025-05-01 23:31:00,Success,5553750,20.99
R0083,P007,2025-04-13,2025-04-13 08:19:00,2025-04-13 09:10:00,Running,4983506,23.45
R0084,P010,2025-02-21,2025-02-21 11:21:00,2025-02-21 11:40:00,Success,8081594,2.56
R0085,P008,2025-02-26,2025-02-26 08:48:00,2025-02-26 09:35:00,Success,1743966,7.65
R0086,P003,2025-03-14,2025-03-14 07:14:00,2025-03-14 07:45:00,Success,9773662,7.86
R0087,P002,2025-04-09,2025-04-09 00:45:00,2025-04-09 02:01:00,Success,6291869,25.47
R0088,P002,2025-05-01,2025-05-01 01:41:00,2025-05-01 02:32:00,Success,8113007,5.49
R0089,P002,2025-01-27,2025-01-27 09:34:00,2025-01-27 10:07:00,Success,4466399,9.88
R0090,P004,2025-03-11,2025-03-11 02:56:00,2025-03-11 03:11:00,Success,9500047,4.37
R0091,P009,2025-04-22,2025-04-22 20:13:00,2025-04-22 20:59:00,Success,3276482,18.6
R0092,P002,2025-02-10,2025-02-10 10:59:00,2025-02-10 12:04:00,Success,7571690,6.32
R0093,P007,2025-02-23,2025-02-23 21:15:00,2025-02-23 22:37:00,Success,2894101,6.49
R0094,P006,2025-01-24,2025-01-24 04:04:00,2025-01-24 04:23:00,Failed,0,4.17
R0095,P005,2025-03-05,2025-03-05 15:43:00,2025-03-05 16:11:00,Success,5382602,9.2
R0096,P005,2025-03-24,2025-03-24 12:02:00,2025-03-24 12:44:00,Success,6903699,4.0
R0097,P010,2025-02-20,2025-02-20 12:44:00,2025-02-20 13:43:00,Success,8278385,26.71
R0098,P010,2025-02-08,2025-02-08 20:34:00,2025-02-08 21:13:00,Success,2833476,13.6
R0099,P008,2025-03-11,2025-03-11 13:48:00,2025-03-11 14:23:00,Success,5306933,4.87
R0100,P005,2025-01-21,2025-01-21 10:46:00,2025-01-21 11:34:00,Running,4954194,16.64
R0101,P009,2025-01-16,2025-01-16 23:10:00,2025-01-16 23:30:00,Failed,0,7.0
R0102,P007,2025-03-22,2025-03-22 04:37:00,2025-03-22 05:56:00,Success,1377180,5.34
R0103,P010,2025-03-15,2025-03-15 01:38:00,2025-03-15 02:07:00,Success,3031006,13.03
R0104,P010,2025-02-20,2025-02-20 02:21:00,2025-02-20 04:19:00,Delayed,8818602,19.69
R0105,P003,2025-04-16,2025-04-16 17:50:00,2025-04-16 18:14:00,Success,9893216,10.74
R0106,P005,2025-02-13,2025-02-13 06:41:00,2025-02-13 07:11:00,Failed,0,12.08
R0107,P003,2025-03-21,2025-03-21 05:34:00,2025-03-21 06:21:00,Success,5021886,21.23
R0108,P003,2025-04-17,2025-04-17 00:50:00,2025-04-17 01:12:00,Running,9724333,10.33
R0109,P010,2025-03-25,2025-03-25 08:23:00,2025-03-25 09:18:00,Success,3259140,13.58
R0110,P004,2025-01-07,2025-01-07 21:15:00,2025-01-07 22:14:00,Success,3463735,23.24
R0111,P006,2025-04-02,2025-04-02 09:28:00,2025-04-02 10:29:00,Success,9795348,9.75
R0112,P009,2025-03-23,2025-03-23 10:45:00,2025-03-23 11:25:00,Success,573232,18.67
R0113,P005,2025-04-17,2025-04-17 23:19:00,2025-04-17 23:48:00,Success,9038240,8.57
R0114,P008,2025-02-15,2025-02-15 18:08:00,2025-02-15 18:30:00,Success,4052164,3.29
R0115,P003,2025-03-15,2025-03-15 05:45:00,2025-03-15 08:04:00,Delayed,6008781,23.17
R0116,P003,2025-03-04,2025-03-04 00:39:00,2025-03-04 02:51:00,Delayed,3370565,14.39
R0117,P008,2025-02-24,2025-02-24 09:54:00,2025-02-24 10:59:00,Success,4490904,28.6
R0118,P007,2025-04-28,2025-04-28 08:38:00,2025-04-28 09:38:00,Success,9850905,27.01
R0119,P003,2025-01-19,2025-01-19 05:06:00,2025-01-19 05:18:00,Running,6392389,0.8
R0120,P005,2025-01-23,2025-01-23 19:05:00,2025-01-23 19:30:00,Success,6787376,4.13
R0121,P005,2025-04-05,2025-04-05 10:34:00,2025-04-05 11:04:00,Failed,0,11.56
R0122,P008,2025-04-22,2025-04-22 05:55:00,2025-04-22 07:14:00,Success,6505268,31.19
R0123,P009,2025-02-01,2025-02-01 12:55:00,2025-02-01 14:00:00,Delayed,9966688,21.35
R0124,P010,2025-02-20,2025-02-20 07:49:00,2025-02-20 09:06:00,Success,1452868,6.76
R0125,P001,2025-05-01,2025-05-01 15:38:00,2025-05-01 17:42:00,Delayed,6227425,56.73
R0126,P003,2025-04-24,2025-04-24 22:48:00,2025-04-24 23:14:00,Success,3167350,3.33
R0127,P007,2025-04-12,2025-04-12 04:29:00,2025-04-12 05:33:00,Success,6848600,9.18
R0128,P010,2025-03-19,2025-03-19 18:18:00,2025-03-19 20:36:00,Delayed,8241650,29.64
R0129,P002,2025-03-08,2025-03-08 07:42:00,2025-03-08 08:52:00,Success,5352489,26.87
R0130,P004,2025-03-28,2025-03-28 15:03:00,2025-03-28 16:05:00,Success,9914979,14.25
R0131,P006,2025-03-27,2025-03-27 19:05:00,2025-03-27 20:34:00,Delayed,8555744,25.93
R0132,P003,2025-01-30,2025-01-30 11:05:00,2025-01-30 12:18:00,Success,269542,16.39
R0133,P007,2025-03-22,2025-03-22 15:35:00,2025-03-22 16:02:00,Failed,0,4.34
R0134,P010,2025-03-22,2025-03-22 15:46:00,2025-03-22 15:56:00,Success,1426266,4.55
R0135,P009,2025-01-26,2025-01-26 14:55:00,2025-01-26 15:47:00,Success,9383380,21.5
R0136,P008,2025-03-01,2025-03-01 06:08:00,2025-03-01 06:37:00,Failed,0,2.41
R0137,P003,2025-04-29,2025-04-29 12:09:00,2025-04-29 12:31:00,Success,8228076,10.74
R0138,P008,2025-04-12,2025-04-12 19:50:00,2025-04-12 20:05:00,Success,1870512,6.78
R0139,P010,2025-04-07,2025-04-07 06:18:00,2025-04-07 07:32:00,Success,6814579,35.83
R0140,P007,2025-03-06,2025-03-06 17:41:00,2025-03-06 19:08:00,Success,631064,13.97
R0141,P001,2025-04-29,2025-04-29 16:29:00,2025-04-29 16:56:00,Failed,0,7.26
R0142,P009,2025-01-17,2025-01-17 03:13:00,2025-01-17 03:29:00,Success,6395970,2.8
R0143,P001,2025-04-27,2025-04-27 21:57:00,2025-04-27 22:41:00,Success,4368211,13.57
R0144,P007,2025-01-31,2025-01-31 09:44:00,2025-01-31 10:55:00,Success,195199,25.28
R0145,P010,2025-03-27,2025-03-27 02:27:00,2025-03-27 02:42:00,Running,472677,4.9
R0146,P006,2025-03-08,2025-03-08 07:52:00,2025-03-08 08:19:00,Failed,0,2.09
R0147,P006,2025-02-12,2025-02-12 12:38:00,2025-02-12 14:07:00,Success,1729661,21.1
R0148,P001,2025-01-28,2025-01-28 21:34:00,2025-01-28 22:05:00,Success,1342393,12.54
R0149,P001,2025-03-16,2025-03-16 02:55:00,2025-03-16 05:16:00,Delayed,8038343,19.38
R0150,P010,2025-03-04,2025-03-04 18:29:00,2025-03-04 19:28:00,Success,5153465,18.53
R0151,P010,2025-02-22,2025-02-22 06:01:00,2025-02-22 06:16:00,Success,7669421,3.74
R0152,P008,2025-01-18,2025-01-18 15:09:00,2025-01-18 15:29:00,Success,8119085,6.67
R0153,P004,2025-04-10,2025-04-10 20:09:00,2025-04-10 21:19:00,Success,2035338,9.81
R0154,P009,2025-03-24,2025-03-24 00:29:00,2025-03-24 01:25:00,Running,9285732,9.08
R0155,P010,2025-03-15,2025-03-15 03:22:00,2025-03-15 04:09:00,Success,4426761,22.61
R0156,P002,2025-02-27,2025-02-27 05:18:00,2025-02-27 06:21:00,Running,5050708,3.23
R0157,P008,2025-04-12,2025-04-12 00:29:00,2025-04-12 01:25:00,Success,425443,6.55
R0158,P010,2025-03-10,2025-03-10 05:43:00,2025-03-10 07:20:00,Delayed,7161964,47.97
R0159,P008,2025-03-30,2025-03-30 12:07:00,2025-03-30 13:20:00,Success,5718605,24.52
R0160,P003,2025-04-08,2025-04-08 14:31:00,2025-04-08 15:51:00,Success,4118585,10.08
R0161,P001,2025-03-19,2025-03-19 07:52:00,2025-03-19 08:02:00,Success,6533989,0.81
R0162,P009,2025-02-13,2025-02-13 09:00:00,2025-02-13 09:43:00,Success,2264536,5.55
R0163,P004,2025-01-14,2025-01-14 19:46:00,2025-01-14 21:14:00,Success,7478587,11.62
R0164,P007,2025-04-03,2025-04-03 03:03:00,2025-04-03 04:12:00,Success,7064467,19.63
R0165,P007,2025-02-18,2025-02-18 19:36:00,2025-02-18 19:51:00,Success,2640339,5.45
R0166,P006,2025-02-18,2025-02-18 06:03:00,2025-02-18 06:24:00,Success,7988800,2.77
R0167,P002,2025-02-26,2025-02-26 21:32:00,2025-02-26 23:00:00,Success,9682267,20.91
R0168,P001,2025-04-05,2025-04-05 10:59:00,2025-04-05 11:39:00,Success,3292918,6.48
R0169,P010,2025-02-23,2025-02-23 11:40:00,2025-02-23 14:02:00,Delayed,7434020,60.02
R0170,P005,2025-03-07,2025-03-07 18:48:00,2025-03-07 20:05:00,Success,9410005,4.77
R0171,P006,2025-04-20,2025-04-20 19:32:00,2025-04-20 20:38:00,Success,8484417,19.19
R0172,P004,2025-03-19,2025-03-19 20:02:00,2025-03-19 20:20:00,Success,6161980,4.83
R0173,P001,2025-03-31,2025-03-31 07:35:00,2025-03-31 08:35:00,Success,203432,19.94
R0174,P003,2025-03-21,2025-03-21 14:26:00,2025-03-21 15:43:00,Success,5317313,8.8
R0175,P005,2025-01-19,2025-01-19 07:53:00,2025-01-19 08:20:00,Success,8230760,1.39
R0176,P005,2025-01-22,2025-01-22 23:20:00,2025-01-23 00:04:00,Success,3115500,2.38
R0177,P010,2025-02-12,2025-02-12 00:58:00,2025-02-12 01:13:00,Success,1795289,4.22
R0178,P005,2025-04-01,2025-04-01 00:59:00,2025-04-01 02:13:00,Running,1094808,21.03
R0179,P005,2025-03-14,2025-03-14 05:41:00,2025-03-14 06:49:00,Success,2346892,7.05
R0180,P005,2025-02-01,2025-02-01 17:15:00,2025-02-01 17:23:00,Failed,0,3.9
R0181,P005,2025-03-11,2025-03-11 10:05:00,2025-03-11 11:11:00,Success,2900790,27.89
R0182,P009,2025-01-13,2025-01-13 23:29:00,2025-01-14 00:50:00,Success,2213041,40.13
R0183,P006,2025-01-27,2025-01-27 07:27:00,2025-01-27 07:55:00,Success,7462496,3.96
R0184,P008,2025-01-05,2025-01-05 23:39:00,2025-01-06 00:33:00,Running,7547413,9.85
R0185,P002,2025-04-20,2025-04-20 11:02:00,2025-04-20 12:19:00,Success,2449233,5.2
R0186,P007,2025-04-19,2025-04-19 07:54:00,2025-04-19 10:23:00,Delayed,2610890,68.94
R0187,P007,2025-03-19,2025-03-19 04:05:00,2025-03-19 05:24:00,Success,3711295,13.82
R0188,P008,2025-02-24,2025-02-24 10:45:00,2025-02-24 13:43:00,Delayed,7097372,41.42
R0189,P004,2025-04-08,2025-04-08 09:05:00,2025-04-08 09:50:00,Success,7509928,15.03
R0190,P004,2025-04-27,2025-04-27 08:10:00,2025-04-27 08:33:00,Success,8875548,7.98
R0191,P001,2025-03-19,2025-03-19 01:01:00,2025-03-19 01:26:00,Success,4942395,10.66
R0192,P005,2025-02-26,2025-02-26 11:33:00,2025-02-26 11:45:00,Success,1269807,3.93
R0193,P002,2025-03-29,2025-03-29 21:48:00,2025-03-29 22:28:00,Success,5673513,10.68
R0194,P003,2025-04-25,2025-04-25 06:52:00,2025-04-25 08:04:00,Success,1912457,19.77
R0195,P002,2025-02-03,2025-02-03 09:11:00,2025-02-03 09:56:00,Success,3629553,17.82
R0196,P009,2025-01-27,2025-01-27 05:50:00,2025-01-27 06:00:00,Success,8831586,3.53
R0197,P001,2025-01-22,2025-01-22 06:11:00,2025-01-22 06:49:00,Success,2264601,13.19
R0198,P002,2025-03-23,2025-03-23 02:42:00,2025-03-23 03:46:00,Success,9218053,6.02
R0199,P007,2025-01-22,2025-01-22 22:10:00,2025-01-22 22:39:00,Failed,0,4.82
R0200,P001,2025-01-08,2025-01-08 21:58:00,2025-01-08 22:47:00,Running,2056392,14.94
R0201,P004,2025-03-08,2025-03-08 22:08:00,2025-03-08 22:44:00,Success,9952457,11.98
R0202,P009,2025-04-02,2025-04-02 06:31:00,2025-04-02 07:38:00,Running,7455399,13.99
R0203,P002,2025-04-10,2025-04-10 01:58:00,2025-04-10 02:16:00,Success,6798673,1.26
R0204,P001,2025-01-09,2025-01-09 19:22:00,2025-01-09 20:43:00,Success,3846058,16.19
R0205,P006,2025-01-30,2025-01-30 17:04:00,2025-01-30 18:26:00,Success,3388392,17.13
R0206,P003,2025-03-09,2025-03-09 16:59:00,2025-03-09 18:26:00,Success,9550487,34.66
R0207,P002,2025-02-17,2025-02-17 22:00:00,2025-02-17 23:27:00,Delayed,4623198,4.68
R0208,P004,2025-01-04,2025-01-04 11:04:00,2025-01-04 12:27:00,Success,4117654,4.4
R0209,P009,2025-03-03,2025-03-03 20:56:00,2025-03-03 23:16:00,Delayed,5028977,36.9
R0210,P001,2025-01-07,2025-01-07 19:34:00,2025-01-07 21:02:00,Success,8630183,37.69
R0211,P010,2025-01-20,2025-01-20 23:00:00,2025-01-20 23:27:00,Success,7259996,10.31
R0212,P003,2025-01-28,2025-01-28 10:05:00,2025-01-28 10:41:00,Success,2700355,10.67
R0213,P003,2025-03-22,2025-03-22 18:53:00,2025-03-22 19:16:00,Success,3792938,1.9
R0214,P001,2025-02-12,2025-02-12 02:44:00,2025-02-12 03:30:00,Success,9605002,3.95
R0215,P006,2025-04-05,2025-04-05 02:15:00,2025-04-05 02:35:00,Success,4408032,7.76
R0216,P007,2025-01-25,2025-01-25 15:07:00,2025-01-25 15:48:00,Success,7112715,8.66
R0217,P009,2025-02-01,2025-02-01 05:56:00,2025-02-01 06:14:00,Success,3680966,4.08
R0218,P008,2025-01-22,2025-01-22 08:04:00,2025-01-22 08:16:00,Failed,0,3.38
R0219,P003,2025-03-30,2025-03-30 19:50:00,2025-03-30 20:57:00,Success,555165,21.62
R0220,P009,2025-02-08,2025-02-08 05:12:00,2025-02-08 06:15:00,Running,6048282,13.97
R0221,P003,2025-01-09,2025-01-09 15:06:00,2025-01-09 17:04:00,Delayed,4469662,25.97
R0222,P009,2025-03-06,2025-03-06 16:43:00,2025-03-06 17:55:00,Success,5986184,18.3
R0223,P007,2025-01-19,2025-01-19 06:04:00,2025-01-19 06:31:00,Failed,0,13.48
R0224,P005,2025-03-10,2025-03-10 09:28:00,2025-03-10 10:54:00,Success,2176567,42.65
R0225,P010,2025-03-28,2025-03-28 03:46:00,2025-03-28 06:24:00,Delayed,420953,18.97
R0226,P003,2025-04-15,2025-04-15 21:13:00,2025-04-15 22:43:00,Success,7821897,6.78
R0227,P009,2025-02-05,2025-02-05 08:43:00,2025-02-05 09:40:00,Success,234583,21.77
R0228,P006,2025-02-24,2025-02-24 02:23:00,2025-02-24 02:59:00,Running,5295423,16.09
R0229,P009,2025-03-13,2025-03-13 22:01:00,2025-03-13 23:26:00,Running,8772937,11.46
R0230,P006,2025-02-23,2025-02-23 17:59:00,2025-02-23 18:22:00,Failed,0,8.22
R0231,P001,2025-03-15,2025-03-15 20:20:00,2025-03-15 20:39:00,Failed,0,7.77
R0232,P004,2025-04-06,2025-04-06 11:34:00,2025-04-06 12:23:00,Success,7752225,23.73
R0233,P008,2025-01-21,2025-01-21 20:21:00,2025-01-21 20:42:00,Success,1680831,2.67
R0234,P005,2025-04-28,2025-04-28 16:25:00,2025-04-28 17:21:00,Success,2542792,23.33
R0235,P007,2025-02-17,2025-02-17 15:06:00,2025-02-17 15:23:00,Success,9269955,5.78
R0236,P008,2025-02-06,2025-02-06 05:59:00,2025-02-06 07:50:00,Delayed,7284814,18.61
R0237,P001,2025-01-01,2025-01-01 12:52:00,2025-01-01 14:00:00,Success,7248753,17.96
R0238,P003,2025-02-01,2025-02-01 08:23:00,2025-02-01 11:13:00,Delayed,9429500,45.5
R0239,P006,2025-02-25,2025-02-25 02:36:00,2025-02-25 03:57:00,Success,9875531,12.03
R0240,P005,2025-04-18,2025-04-18 11:25:00,2025-04-18 12:54:00,Success,7401440,24.16
R0241,P005,2025-03-05,2025-03-05 18:50:00,2025-03-05 19:49:00,Success,4056412,4.64
R0242,P001,2025-02-16,2025-02-16 02:27:00,2025-02-16 02:34:00,Failed,0,2.15
R0243,P004,2025-01-21,2025-01-21 02:09:00,2025-01-21 03:37:00,Success,7905608,13.48
R0244,P004,2025-03-24,2025-03-24 22:01:00,2025-03-24 22:51:00,Success,6930728,5.08
R0245,P005,2025-01-04,2025-01-04 12:49:00,2025-01-04 13:39:00,Success,8536279,16.78
R0246,P008,2025-03-04,2025-03-04 00:40:00,2025-03-04 03:02:00,Delayed,5739907,59.47
R0247,P009,2025-02-03,2025-02-03 20:13:00,2025-02-03 21:22:00,Running,3959909,18.79
R0248,P010,2025-02-11,2025-02-11 11:29:00,2025-02-11 12:48:00,Success,7327375,6.89
R0249,P005,2025-01-30,2025-01-30 13:08:00,2025-01-30 13:38:00,Success,7859391,13.69
R0250,P002,2025-02-12,2025-02-12 00:37:00,2025-02-12 01:52:00,Success,6341604,7.95
R0251,P001,2025-01-09,2025-01-09 07:07:00,2025-01-09 08:16:00,Success,2470346,26.92
R0252,P004,2025-01-24,2025-01-24 12:28:00,2025-01-24 12:44:00,Failed,0,6.64
R0253,P004,2025-04-06,2025-04-06 16:34:00,2025-04-06 17:38:00,Success,3025097,28.45
R0254,P007,2025-03-04,2025-03-04 02:52:00,2025-03-04 03:12:00,Success,367115,3.22
R0255,P010,2025-03-20,2025-03-20 06:28:00,2025-03-20 07:41:00,Delayed,454108,26.04
R0256,P008,2025-03-20,2025-03-20 08:08:00,2025-03-20 09:34:00,Delayed,5768992,23.27
R0257,P008,2025-03-07,2025-03-07 22:16:00,2025-03-07 22:28:00,Failed,0,1.6
R0258,P004,2025-01-20,2025-01-20 06:32:00,2025-01-20 06:44:00,Failed,0,2.32
R0259,P002,2025-03-11,2025-03-11 23:57:00,2025-03-12 00:30:00,Success,4592906,3.67
R0260,P007,2025-04-22,2025-04-22 15:42:00,2025-04-22 16:32:00,Success,3045964,20.86
R0261,P009,2025-03-25,2025-03-25 15:38:00,2025-03-25 16:08:00,Failed,0,8.64
R0262,P003,2025-02-03,2025-02-03 12:14:00,2025-02-03 13:12:00,Success,9026167,17.13
R0263,P009,2025-03-06,2025-03-06 04:37:00,2025-03-06 04:48:00,Success,7612821,2.81
R0264,P007,2025-03-28,2025-03-28 23:55:00,2025-03-29 00:44:00,Success,1403719,7.06
R0265,P007,2025-03-17,2025-03-17 00:08:00,2025-03-17 00:35:00,Success,2287597,3.81
R0266,P006,2025-01-28,2025-01-28 13:22:00,2025-01-28 14:10:00,Running,1145406,8.57
R0267,P007,2025-01-16,2025-01-16 03:20:00,2025-01-16 03:42:00,Success,664994,5.41
R0268,P002,2025-01-07,2025-01-07 02:51:00,2025-01-07 03:35:00,Success,4593682,4.96
R0269,P007,2025-01-04,2025-01-04 23:51:00,2025-01-05 01:00:00,Delayed,8753018,26.29
R0270,P004,2025-03-25,2025-03-25 02:35:00,2025-03-25 03:49:00,Running,6238514,15.54
R0271,P007,2025-04-14,2025-04-14 08:37:00,2025-04-14 09:32:00,Success,4038900,19.01
R0272,P003,2025-02-07,2025-02-07 10:46:00,2025-02-07 11:54:00,Success,1869034,18.71
