run_id,sla_target_mins,actual_runtime_mins,sla_breached
R0353,30,90,Yes
R0354,45,90,Yes
R0355,90,150,Yes
R0356,90,24,No
R0357,60,46,No
R0358,45,66,Yes
R0359,30,44,Yes
R0360,90,22,No
R0361,30,63,Yes
R0362,90,10,No
R0363,60,29,No
R0364,45,80,Yes
R0365,45,22,No
R0366,30,52,Yes
R0367,90,79,No
R0368,90,167,Yes
R0369,30,32,Yes
R0370,45,63,Yes
R0371,45,55,Yes
R0372,45,62,Yes
R0373,60,79,Yes
R0374,30,101,Yes
R0375,30,49,Yes
R0376,45,169,Yes
R0377,30,55,Yes
R0378,60,27,No
R0379,45,79,Yes
R0380,90,88,No
R0381,60,21,No
R0382,30,89,Yes
R0383,45,78,Yes
R0384,60,90,Yes
R0385,90,24,No
R0386,30,21,No
R0387,30,43,Yes
R0388,90,35,No
R0389,90,35,No
R0390,90,68,No
R0391,90,23,No
R0392,45,23,No
R0393,45,164,Yes
R0394,90,86,No
R0395,60,17,No
R0396,60,70,Yes
R0397,30,19,No
R0398,90,48,No
R0399,45,79,Yes
R0400,90,53,No
R0401,60,18,No
R0402,90,74,No
R0403,90,60,No
R0404,90,20,No
R0405,60,75,Yes
R0406,60,41,No
R0407,45,89,Yes
R0408,60,160,Yes
R0409,45,60,Yes
R0410,90,126,Yes
R0411,30,174,Yes
R0412,90,90,No
R0413,45,61,Yes
R0414,45,24,No
R0415,90,50,No
R0416,90,80,No
R0417,30,105,Yes
R0418,45,37,No
R0419,90,62,No
R0420,60,38,No
R0421,60,88,Yes
R0422,30,14,No
R0423,45,65,Yes
R0424,90,73,No
R0425,45,15,No
R0426,60,52,No
R0427,60,89,Yes
R0428,45,45,No
R0429,90,72,No
R0430,60,14,No
R0431,45,50,Yes
R0432,30,180,Yes
R0433,45,58,Yes
R0434,60,168,Yes
R0435,45,78,Yes
R0436,30,38,Yes
R0437,30,16,No
R0438,90,48,No
R0439,60,16,No
R0440,90,59,No
R0441,90,82,No
R0442,45,45,No
R0443,60,68,Yes
R0444,30,85,Yes
R0445,60,155,Yes
R0446,30,56,Yes
R0447,60,77,Yes
R0448,60,32,No
R0449,90,154,Yes
R0450,30,66,Yes
R0451,45,89,Yes
R0452,45,69,Yes
R0453,60,26,No
R0454,45,36,No
R0455,60,69,Yes
R0456,90,141,Yes
R0457,60,41,No
R0458,60,15,No
R0459,60,19,No
R0460,90,29,No
R0461,60,6,No
R0462,60,28,No
R0463,30,61,Yes
R0464,90,49,No
R0465,60,51,No
R0466,90,29,No
R0467,45,60,Yes
R0468,60,17,No
R0469,60,27,No
R0470,90,80,No
R0471,45,52,Yes
R0472,45,70,Yes
R0473,60,84,Yes
R0474,30,53,Yes
R0475,60,48,No
R0476,45,43,No
R0477,30,83,Yes
R0478,60,16,No
R0479,60,63,Yes
R0480,90,32,No
R0481,90,82,No
R0482,30,145,Yes
R0483,30,89,Yes
R0484,30,24,No
R0485,60,48,No
R0486,90,23,No
R0487,45,54,Yes
R0488,60,52,No
R0489,90,68,No
R0490,30,81,Yes
R0491,90,65,No
R0492,60,64,Yes
R0493,45,67,Yes
R0494,45,161,Yes
R0495,60,75,Yes
R0496,60,49,No
R0497,60,7,No
R0498,45,98,Yes
R0499,45,8,No
R0500,30,23,No
R0501,45,12,No
R0502,45,44,No
R0503,45,26,No
R0504,90,68,No
R0505,45,169,Yes
R0506,90,12,No
R0507,30,56,Yes
R0508,60,43,No
R0509,60,24,No
R0510,60,22,No
R0511,30,75,Yes
R0512,30,11,No
R0513,45,72,Yes
R0514,60,73,Yes
R0515,30,69,Yes
R0516,30,141,Yes
R0517,30,154,Yes
R0518,90,166,Yes
R0519,45,22,No
R0520,30,26,No
R0521,30,32,Yes
R0522,30,31,Yes
R0523,45,38,No
R0524,30,58,Yes
R0525,30,53,Yes
R0526,90,34,No
R0527,30,176,Yes
R0528,90,54,No
R0529,60,23,No
R0530,45,86,Yes
R0531,60,79,Yes
R0532,60,60,No
R0533,60,78,Yes
R0534,60,78,Yes
R0535,60,47,No
R0536,45,60,Yes
R0537,30,67,Yes
R0538,45,25,No
R0539,45,22,No
R0540,45,63,Yes
R0541,45,131,Yes
R0542,30,73,Yes
R0543,60,24,No
R0544,30,74,Yes
R0545,60,86,Yes
R0546,60,54,No
R0547,45,82,Yes
R0548,60,11,No
R0549,45,31,No
R0550,30,39,Yes
R0551,90,20,No
R0552,90,32,No
R0553,90,124,Yes
R0554,60,40,No
R0555,45,72,Yes
R0556,60,21,No
R0557,90,18,No
R0558,90,28,No
R0559,60,69,Yes
R0560,45,16,No
R0561,90,14,No
R0562,60,48,No
R0563,90,142,Yes
R0564,30,37,Yes
R0565,90,66,No
R0566,60,61,Yes
R0567,45,99,Yes
R0568,30,11,No
R0569,30,39,Yes
R0570,45,11,No
R0571,45,46,Yes
R0572,90,80,No
R0573,60,77,Yes
R0574,90,58,No
R0575,60,147,Yes
R0576,60,54,No
R0577,90,95,Yes
R0578,45,27,No
R0579,60,73,Yes
R0580,45,75,Yes
R0581,90,20,No
R0582,60,11,No
R0583,45,52,Yes
R0584,45,70,Yes
R0585,30,80,Yes
R0586,90,72,No
R0587,45,78,Yes
R0588,60,62,Yes
R0589,30,43,Yes
R0590,45,42,No
R0591,90,72,No
R0592,45,40,No
R0593,60,30,No
R0594,60,149,Yes
R0595,30,9,No
R0596,90,27,No
R0597,60,86,Yes
R0598,60,29,No
R0599,90,46,No
R0600,30,67,Yes
R0601,45,12,No
R0602,90,13,No
R0603,45,9,No
R0604,60,20,No
R0605,30,80,Yes
R0606,45,31,No
R0607,30,67,Yes
R0608,60,78,Yes
R0609,90,11,No
R0610,45,54,Yes
R0611,90,33,No
R0612,45,105,Yes
R0613,45,21,No
R0614,45,30,No
R0615,45,58,Yes
R0616,90,52,No
R0617,45,60,Yes
R0618,60,37,No
R0619,45,38,No
R0620,30,73,Yes
R0621,30,68,Yes
R0622,60,69,Yes
R0623,30,26,No
R0624,60,62,Yes
R0625,60,155,Yes
R0626,45,38,No
R0627,45,121,Yes
R0628,90,10,No
R0629,60,16,No
R0630,30,46,Yes
R0631,90,67,No
R0632,90,29,No
R0633,60,85,Yes
R0634,90,92,Yes
R0635,90,51,No
R0636,30,29,No
R0637,30,32,Yes
R0638,90,90,No
R0639,60,40,No
R0640,30,47,Yes
R0641,60,21,No
R0642,60,27,No
R0643,90,52,No
R0644,60,64,Yes
R0645,45,50,Yes
R0646,60,29,No
R0647,90,29,No
R0648,60,20,No
R0649,90,46,No
R0650,45,82,Yes
R0651,30,47,Yes
R0652,45,83,Yes
R0653,30,80,Yes
R0654,45,74,Yes
R0655,60,82,Yes
R0656,45,111,Yes
R0657,30,60,Yes
R0658,45,37,No
R0659,90,63,No
R0660,30,48,Yes
R0661,30,59,Yes
R0662,60,34,No
R0663,45,24,No
R0664,45,68,Yes
R0665,45,75,Yes
R0666,45,29,No
R0667,90,45,No
R0668,30,81,Yes
R0669,90,18,No
R0670,45,62,Yes
R0671,60,34,No
R0672,90,17,No
R0673,45,25,No
R0674,60,15,No
R0675,45,103,Yes
R0676,60,84,Yes
R0677,30,62,Yes
R0678,90,72,No
R0679,60,28,No
R0680,90,7,No
R0681,30,14,No
R0682,45,10,No
R0683,90,26,No
R0684,30,75,Yes
R0685,60,50,No
R0686,45,50,Yes
R0687,90,64,No
R0688,60,69,Yes
R0689,90,128,Yes
R0690,30,57,Yes
R0691,45,75,Yes
R0692,60,63,Yes
R0693,45,28,No
R0694,90,84,No
R0695,60,75,Yes
R0696,60,156,Yes
R0697,90,64,No
R0698,60,21,No
R0699,60,79,Yes
R0700,45,56,Yes
R0701,30,77,Yes
R0702,45,32,No
R0703,60,20,No
R0704,60,20,No
R0705,45,21,No
R0706,90,12,No
R0707,45,71,Yes
R0708,60,24,No
R0709,60,29,No
R0710,30,24,No
R0711,30,35,Yes
R0712,30,56,Yes
R0713,45,21,No
R0714,90,55,No
R0715,30,84,Yes
R0716,45,78,Yes
R0717,90,34,No
R0718,30,124,Yes
R0719,30,39,Yes
R0720,90,69,No
R0721,30,10,No
R0722,45,20,No
R0723,30,20,No
R0724,60,50,No
R0725,60,64,Yes
R0726,45,25,No
R0727,90,10,No
R0728,60,87,Yes
R0729,60,120,Yes
R0730,90,32,No
R0731,45,10,No
R0732,30,55,Yes
R0733,30,15,No
R0734,90,157,Yes
R0735,30,85,Yes
R0736,30,22,No
R0737,45,37,No
R0738,60,34,No
R0739,90,11,No
R0740,60,131,Yes
R0741,30,11,No
R0742,60,24,No
R0743,60,27,No
R0744,60,29,No
R0745,30,10,No
R0746,60,38,No
R0747,30,83,Yes
R0748,45,11,No
R0749,90,90,No
R0750,60,15,No
R0751,60,82,Yes
R0752,90,55,No
R0753,60,57,No
R0754,30,77,Yes
R0755,30,35,Yes
R0756,30,66,Yes
R0757,90,59,No
R0758,30,50,Yes
R0759,90,70,No
R0760,90,71,No
R0761,90,34,No
R0762,60,24,No
R0763,30,47,Yes
R0764,90,15,No
R0765,60,34,No
R0766,60,36,No
R0767,60,52,No
R0768,30,168,Yes
R0769,30,51,Yes
R0770,90,61,No
R0771,30,43,Yes
R0772,90,83,No
R0773,60,44,No
R0774,45,37,No
R0775,90,25,No
R0776,45,68,Yes
R0777,60,70,Yes
R0778,30,83,Yes
R0779,60,48,No
R0780,60,68,Yes
R0781,90,75,No
R0782,30,53,Yes
R0783,90,49,No
R0784,30,35,Yes
R0785,45,90,Yes
R0786,45,30,No
R0787,45,35,No
R0788,90,39,No
R0789,30,111,Yes
R0790,45,69,Yes
R0791,90,30,No
R0792,90,45,No
R0793,90,59,No
R0794,90,76,No
R0795,60,33,No
R0796,45,88,Yes
R0797,90,40,No
R0798,30,35,Yes
R0799,45,18,No
R0800,30,11,No
R0801,45,52,Yes
R0802,30,11,No
R0803,90,7,No
R0804,60,99,Yes
R0805,30,29,No
R0806,45,67,Yes
R0807,30,76,Yes
R0808,90,21,No
R0809,90,64,No
R0810,45,70,Yes
R0811,45,70,Yes
R0812,60,31,No
R0813,90,82,No
R0814,30,49,Yes
R0815,90,71,No
R0816,30,24,No
R0817,45,61,Yes
R0818,45,66,Yes
R0819,30,22,No
R0820,30,74,Yes
R0821,30,67,Yes
R0822,45,81,Yes
R0823,30,89,Yes
R0824,90,84,No
R0825,90,83,No
R0826,90,18,No
R0827,45,33,No
R0828,90,24,No
R0829,60,37,No
R0830,30,26,No
R0831,45,55,Yes
R0832,90,112,Yes
R0833,30,43,Yes
R0834,45,27,No
R0835,90,57,No
R0836,30,20,No
R0837,30,60,Yes
R0838,60,21,No
R0839,90,30,No
R0840,60,60,No
R0841,30,65,Yes
R0842,30,31,Yes
R0843,45,21,No
R0844,30,40,Yes
R0845,90,80,No
R0846,45,27,No
R0847,90,50,No
R0848,45,23,No
R0849,45,22,No
R0850,60,79,Yes
R0851,60,65,Yes
R0852,90,95,Yes
R0853,90,29,No
R0854,30,53,Yes
R0855,30,88,Yes
R0856,45,51,Yes
R0857,60,15,No
R0858,30,28,No
R0859,45,55,Yes
R0860,45,26,No
R0861,30,5,No
R0862,45,26,No
R0863,90,64,No
R0864,60,15,No
R0865,45,86,Yes
R0866,45,12,No
R0867,90,21,No
R0868,45,29,No
R0869,30,27,No
R0870,45,75,Yes
R0871,90,46,No
R0872,60,31,No
R0873,45,34,No
R0874,30,171,Yes
R0875,60,19,No
R0876,90,57,No
R0877,90,22,No
R0878,90,77,No
R0879,60,62,Yes
R0880,90,25,No
R0881,45,71,Yes
R0882,30,71,Yes
R0883,60,28,No
R0884,30,52,Yes
R0885,45,20,No
R0886,60,77,Yes
R0887,60,21,No
R0888,30,20,No
R0889,45,60,Yes
R0890,60,22,No
R0891,30,37,Yes
R0892,60,48,No
R0893,30,66,Yes
R0894,90,10,No
R0895,60,90,Yes
R0896,60,74,Yes
R0897,30,26,No
R0898,45,85,Yes
R0899,30,33,Yes
R0900,30,111,Yes
R0901,30,5,No
R0902,60,17,No
R0903,45,84,Yes
R0904,60,28,No
R0905,60,19,No
R0906,30,10,No
R0907,45,16,No
R0908,45,90,Yes
R0909,30,147,Yes
R0910,60,48,No
R0911,45,20,No
R0912,90,58,No
R0913,60,108,Yes
R0914,90,47,No
R0915,30,164,Yes
R0916,30,52,Yes
R0917,30,24,No
R0918,90,58,No
R0919,90,76,No
R0920,60,77,Yes
R0921,90,23,No
R0922,45,65,Yes
R0923,90,13,No
R0924,45,47,Yes
R0925,60,73,Yes
R0926,45,55,Yes
R0927,45,30,No
R0928,30,79,Yes
R0929,90,10,No
R0930,45,21,No
R0931,90,26,No
R0932,60,21,No
R0933,90,33,No
R0934,30,74,Yes
R0935,45,81,Yes
R0936,45,49,Yes
R0937,90,61,No
R0938,45,37,No
R0939,30,11,No
R0940,30,159,Yes
R0941,60,29,No
R0942,90,19,No
R0943,30,17,No
R0944,90,80,No
R0945,30,45,Yes
R0946,30,85,Yes
R0947,90,55,No
R0948,30,46,Yes
R0949,60,86,Yes
R0950,45,41,No
R0951,60,39,No
R0952,60,62,Yes
R0953,90,43,No
R0954,60,11,No
R0955,90,85,No
R0956,90,65,No
R0957,30,74,Yes
R0958,45,19,No
R0959,45,36,No
R0960,60,39,No
R0961,60,76,Yes
R0962,90,22,No
R0963,45,79,Yes
R0964,60,53,No
R0965,90,46,No
R0966,90,61,No
R0967,60,35,No
R0968,60,11,No
R0969,30,16,No
R0970,60,49,No
R0971,30,148,Yes
R0972,30,75,Yes
R0973,90,84,No
R0974,45,35,No
R0975,90,67,No
R0976,90,95,Yes
R0977,60,72,Yes
R0978,60,17,No
R0979,30,19,No
R0980,45,24,No
R0981,30,6,No
R0982,90,19,No
R0983,90,59,No
R0984,30,5,No
R0985,60,66,Yes
R0986,30,141,Yes
R0987,30,42,Yes
R0988,60,13,No
R0989,45,12,No
R0990,45,55,Yes
R0991,30,169,Yes
R0992,60,17,No
R0993,90,48,No
R0994,60,49,No
R0995,45,10,No
R0996,30,27,No
R0997,90,23,No
R0998,45,59,Yes
R0999,60,25,No
R1000,60,50,No
